topic_id,word,accent,mean_cn,freq,word_length,source_table,options,tag_id,word_level_id
8083,sense,/sens/,n. 感官；感觉；判断力；见识；观念，意识；意义；道理，合理性；常识；  v. 觉得，意识到,2.0,5,dict_s,"[321, 8568, 10168]",0,564
9113,conduct,"/kənˈdʌkt/, /ˈkɑnˌdʌkt/",vt. 指挥；进行；实施；传导；表现（读作/kənˈdʌkt/） ；引导，带领；  vi. 指挥；  n. 行为；引导（读作/ˈkɑnˌdʌkt/）；经营方式，实施办法；（人在某种情况下的）行为举止,6.0,7,dict_c,"[17334, 1874, 390950]",0,564
4993,executive,/ɪɡˈzekjətɪv/,n. 执行者；经理；行政人员；  adj. 执行的,7.0,9,dict_d_f,"[7187, 790, 4286]",0,564
3897,estate,/ɪˈsteɪt/,n. 地产；住宅；庄园；（面上有大片建筑物的）土地；个人财产，遗产；工业区,7.0,6,dict_d_f,"[4296, 490, 393730]",0,564
3982,perceive,/pərˈsiːv/,v. 意识到；看待，理解；感知，察觉；认为，认知,8.0,8,dict_p_r,"[3907, 5102, 4313]",0,564
5098,consumer,/kənˈsuːmər/,n. 用户；消费者；使用者,7.0,8,dict_c,"[469775, 402602, 6811]",0,564
15250,dominate,/ˈdɑːmɪneɪt/,v. 在……中占首要地位；支配，统治，控制；耸立于，俯视；处于支配地位，拥有优势,8.0,8,dict_d_f,"[6434, 2210, 13315]",0,564
4171,aesthetic,/esˈθetɪk/,n. 美感；审美观；  adj. 美学的；审美的；美的；艺术的,8.0,9,dict_a_b,"[5894, 5369, 13029]",0,564
37,accord,/əˈkɔːrd/,n. 协议；  vt. 授予；  v. （与…）一致，符合,7.0,6,dict_a_b,"[16703, 8372, 4518]",0,564
5707,keen,/kiːn/,adj. 敏锐的；热衷的，渴望的；强烈的；着迷的；  v. 恸哭；  n. 〈英〉号哭，恸哭；  adv. 如饥似渴地,6.0,4,dict_g_k,"[16773, 4818, 16057]",0,564
3941,numerous,/ˈnuːmərəs/,adj. 为数众多的，许多的,7.0,8,dict_l_o,"[9991, 4344, 8108]",0,564
5644,decline,/dɪˈklaɪn/,n. 下降；衰退，衰落；减少；  v. 【语】使发生词尾变化，使变格；下降；拒绝，谢绝；婉拒；减少；衰落,7.0,7,dict_d_f,"[1460, 9198, 4763]",0,564
4761,guarantee,/ˌɡærənˈtiː/,v. 保证，确保；肯定……必然发生；担保；提供保修；  n. 保证；保证金；保证书，担保书；保修单；担保，担保物；安全设施，保护措施,7.0,9,dict_g_k,"[6518, 393731, 7284]",0,564
5702,instruction,/ɪnˈstrʌkʃn/,n. 说明，说明书；指令，命令；指示；指导；  adj. 说明用法的,5.0,11,dict_g_k,"[5156, 10168, 4396]",0,564
7910,mental,/ˈmentl/,adj. 精神的；思想的；脑力的；心理的；内心的；精神病治疗的,4.0,6,dict_l_o,"[6953, 4233, 7236]",0,564
5757,architecture,/ˈɑːrkɪtektʃər/,n. 建筑学；建筑体系；（总称）建筑物；结构；建筑风格，建筑设计；建筑业,6.0,12,dict_a_b,"[15233, 14987, 391010]",0,564
6571,galaxy,/ˈɡæləksi/,n. 星系；银河系；一群显赫的人物,8.0,6,dict_g_k,"[6787, 4022, 10689]",0,564
5896,bubble,/ˈbʌbl/,vi. 起泡；兴奋，欢闹；充满生气，情绪高涨；吐泡泡；  v. 沸腾；  n. 气泡；肥皂泡；泡影；幻想，妄想；靠不住的计划；泡沫,7.0,6,dict_a_b,"[4323, 7229, 5394]",0,564
9164,despise,/dɪˈspaɪz/,vt. 轻视，蔑视，看不起,8.0,7,dict_d_f,"[5426, 9894, 331]",0,564
5930,migrate,/ˈmaɪɡreɪt/,v. 迁徙；移往；迁移,8.0,7,dict_l_o,"[4026, 1553, 10875]",0,564
4735,sufficient,/səˈfɪʃnt/,adj. 足够的，充足的；充分的,7.0,10,dict_s,"[19505, 4168, 5716]",0,564
6168,cattle,/ˈkætl/,n. （总称）牛，牲口,5.0,6,dict_c,"[3882, 4170, 9100]",0,564
15253,layman,/ˈleɪmən/,n. 门外汉，外行；普通教徒,9.0,6,dict_l_o,"[17669, 7095, 5799]",0,564
6317,dig,/dɪɡ/,n. 挖苦；戳；  v. 挖掘，翻土,5.0,3,dict_d_f,"[6342, 7184, 5752]",0,564
5833,urge,/ɜːrdʒ/,v. 催促；敦促；鞭策，鼓动；力荐，主张；强烈要求；  n. 冲动；强烈的愿望,7.0,4,dict_t_z,"[947, 233, 4779]",0,564
6590,intricate,/ˈɪntrɪkət/,adj. 错综复杂的；复杂精细的,9.0,9,dict_g_k,"[3886, 9556, 2677]",0,564
